English,Chinese,Pinyin,Word Type,CEFR Level
lie,说谎,shuōhuǎng,verb,A1
lie,说谎,shuōhuǎng,verb,B1
lift,举起,jǔqǐ,verb,A2
light,光,guāng,verb,A2
like,喜欢,xǐhuan,verb,A1
limit,限制,xiànzhì,verb,B1
line,线,xiàn,verb,B2
link,关联,guānlián,verb,A2
list,列表,lièbiǎo,verb,A1
listen,听,tīng,verb,A1
live,居住,jūzhù,verb,A1
load,加载,jiāzài,verb,B2
locate,定位,dìngwèi,verb,B1
lock,锁,suǒ,verb,A2
look,看,kàn,verb,A1
lose,失去,shīqù,verb,A1
love,爱,ài,verb,A1
lower,降低,jiàngdī,verb,B2
mail,邮件,yóujiàn,verb,A2
maintain,维持,wéichí,verb,B2
make,制作,zhìzuò,verb,A1
manage,管理,guǎnlǐ,verb,A2
map,地图,dìtú,verb,B2
mark,标记,biāojì,verb,A2
market,市场,shìchǎng,verb,B1
marry,结婚,jiéhūn,verb,A2
master,掌握,zhǎngwò,verb,B2
match,匹配,pǐpèi,verb,A1
matter,事情,shìqing,verb,A2
mean,意思是,yìsi shì,verb,A1
measure,措施,cuòshī,verb,B1
meet,见面,jiànmiàn,verb,A1
melt,熔化,rónghuà,verb,B2
mention,提到,tídào,verb,A2
mind,头脑,tóunǎo,verb,A2
miss,错过,cuòguò,verb,A1
mistake,错误,cuòwù,verb,B2
mix,混合,hùnhé,verb,B1
model,模型,móxíng,verb,B2
modify,调整,tiáozhěng,verb,B2
monitor,监视器,jiānshìqì,verb,B2
mount,山,shān,verb,B2
move,移动,yídòng,verb,A1
multiply,乘,chéng,verb,B2
murder,谋杀,móushā,verb,B1
name,姓名,xìngmíng,verb,A1
narrow,狭窄的,xiázhǎi de,verb,B2
need,需要,xūyào,verb,A1
note,笔记,bǐjì,verb,B1
notice,注意,zhùyì,verb,A2
number,数字,shùzì,verb,A2
obey,遵守,zūnshǒu,verb,B2
object,目的,mùdì,verb,B2
observe,观察,guānchá,verb,B2
obtain,获得,huòdé,verb,B2
occur,发生,fāshēng,verb,B1
offend,得罪,dézui,verb,B2
offer,提供,tígōng,verb,A2
open,打开,dǎkāi,verb,A1
operate,操作,cāozuò,verb,B2
oppose,反对,fǎnduì,verb,B2
order,命令,mìnglìng,verb,A1
organize,组织,zǔzhī,verb,A2
outline,大纲,dàgāng,verb,B2
owe,欠,qiàn,verb,B2
own,自己的,zìjǐ de,verb,A2
pace,步伐,bùfá,verb,B2
pack,盒,hé,verb,A2
package,包裹,bāoguǒ,verb,B2
paint,画,huà,verb,A1
park,公园,gōngyuán,verb,A1
participate,参加,cānjiā,verb,B1
pass,经过,jīngguò,verb,A2
pay,支付,zhīfù,verb,A1
perform,履行,lǚxíng,verb,A2
permit,允许,yǔnxǔ,verb,B2
persuade,说服,shuōfú,verb,B1
phone,电话,diànhuà,verb,A1
photograph,照片,zhàopiàn,verb,A2
pick,挑选,tiāoxuǎn,verb,A2
picture,图片,túpiàn,verb,B2
pile,桩,zhuāng,verb,B2
pin,别针,biézhēn,verb,B1
place,地方,dìfāng,verb,B1
plan,计划,jìhuà,verb,A1
plant,植物,zhíwù,verb,A2
play,玩,wán,verb,A1
please,请,qǐng,verb,A2
plot,阴谋,yīnmóu,verb,B2
point,观点,guāndiǎn,verb,B1
poison,毒,dú,verb,B1
pose,姿势,zīshì,verb,B2
position,位置,wèizhi,verb,B2
possess,具有,jùyǒu,verb,B2
post,邮政,yóuzhèng,verb,A1
pour,倒,dǎo,verb,B1
power,力量,lìliang,verb,B2
practise,实践,shíjiàn,verb,A1
praise,称赞,chēngzàn,verb,B2
pray,祈祷,qídǎo,verb,B1
predict,预测,yùcè,verb,A2
prefer,更喜欢,gēng xǐhuan,verb,A1
prepare,准备,zhǔnbèi,verb,A1
present,展示,zhǎnshì,verb,A2
preserve,保存,bǎocún,verb,B2
press,按,àn,verb,B1
pretend,假装,jiǎzhuāng,verb,B1
prevent,防止,fángzhǐ,verb,A2
price,价格,jiàgé,verb,B2
print,打印,dǎyìn,verb,A2
process,过程,guòchéng,verb,B2
produce,生产,shēngchǎn,verb,A2
program,程序,chéngxù,verb,B1
progress,进步,jìnbù,verb,B2
project,项目,xiàngmù,verb,B2
promise,承诺,chéngnuò,verb,A2
promote,推动,tuīdòng,verb,B1
pronounce,发音,fāyīn,verb,A2
propose,提出,tíchū,verb,B2
protect,保护,bǎohù,verb,A2
protest,反对,fǎnduì,verb,B1
prove,证明,zhèngmíng,verb,B1
provide,提供,tígōng,verb,A2
publish,发布,fābù,verb,A2
pull,拉,lā,verb,A2
punish,惩治,chéngzhì,verb,B1
purchase,购买,gòumǎi,verb,B2
pursue,追求,zhuīqiú,verb,B2
push,推,tuī,verb,A2
put,放,fàng,verb,A1
qualify,有资格,yǒu zīgé,verb,B1
question,问题,wèntí,verb,A2
queue,队列,duìliè,verb,B1
quit,辞职,cízhí,verb,B1
quote,引用,yǐnyòng,verb,B1
race,种族,zhǒngzú,verb,A2
rain,雨,yǔ,verb,A1
raise,增加,zēngjiā,verb,A2
range,范围,fànwéi,verb,B2
rank,秩,zhì,verb,B2
rate,速度,sùdù,verb,B2
reach,抵达,dǐdá,verb,A2
react,反应,fǎnyìng,verb,A2
read,读,dú,verb,A1
realize,意识到,yìshí dào,verb,A2
recall,记起,jì qǐ,verb,B2
receive,收到,shōudào,verb,A2
recognize,认出,rènchū,verb,A2
recommend,推荐,tuījiàn,verb,A2
record,记录,jìlù,verb,A2
recover,恢复,huīfù,verb,B2
recycle,回收,huíshōu,verb,A2
reduce,减少,jiǎnshǎo,verb,A2
refer,参考,cānkǎo,verb,A2
reflect,反映,fǎnyìng,verb,B1
refuse,拒绝,jùjué,verb,A2
regard,看待,kàndài,verb,B2
register,登记,dēngjì,verb,B2
regret,后悔,hòuhuǐ,verb,B2
reject,拒绝,jùjué,verb,B1
relate,涉及,shèjí,verb,B1
relax,放松,fàngsōng,verb,A1
release,发布,fābù,verb,B1
rely,依靠,yīkào,verb,B2
remain,保持,bǎochí,verb,B1
remark,评论,pínglùn,verb,B2
remember,记住,jìzhu,verb,A1
remind,提醒,tíxǐng,verb,B1
remove,消除,xiāochú,verb,A2
rent,租,zū,verb,B1
repair,维修,wéixiū,verb,A2
repeat,重复,chóngfù,verb,A1
replace,代替,dàitì,verb,A2
reply,回复,huífù,verb,A2
report,报告,bàogào,verb,A2
represent,代表,dàibiǎo,verb,B1
request,要求,yāoqiú,verb,B1
require,要求,yāoqiú,verb,B1
rescue,救援,jiùyuán,verb,B2
research,研究,yánjiū,verb,A2
reserve,预订,yùdìng,verb,B2
resist,抵抗,dǐkàng,verb,B2
resolve,解决,jiějué,verb,B2
respect,尊重,zūnzhòng,verb,B1
respond,回应,huíyìng,verb,A2
rest,休息,xiūxi,verb,A2
result,结果,jiéguǒ,verb,B1
retain,保持,bǎochí,verb,B2
retire,退休,tuìxiū,verb,B1
return,返回,fǎnhuí,verb,A1
reveal,揭示,jiēshì,verb,B2
review,审查,shěnchá,verb,A2
revise,修订,xiūdìng,verb,B1
reward,报酬,bàochóu,verb,B2
rid,摆脱,bǎituō,verb,B2
ride,骑,qí,verb,A1
ring,戒指,jièzhi,verb,A2
rise,上升,shàngshēng,verb,A2
risk,风险,fēngxiǎn,verb,B1
roll,卷,juǎn,verb,B1
rub,擦,cā,verb,B2
rule,规则,guīzé,verb,B1
run,跑步,pǎobù,verb,A1
rush,匆忙,cōngmáng,verb,B2
sail,帆,fān,verb,A2
sample,样本,yàngběn,verb,B2
satisfy,满足,mǎnzú,verb,B2
save,节省,jiéshěng,verb,A2
say,说,shuō,verb,A1
scan,扫描,sǎomiáo,verb,B1
schedule,日程,rìchéng,verb,B2
score,分数,fēnshù,verb,A2
scream,尖叫,jiānjiào,verb,B2
screen,屏幕,píngmù,verb,B2
search,搜索,sōusuǒ,verb,A2
seat,座位,zuòwèi,verb,B2
secure,安全的,ānquán de,verb,B2
see,看,kàn,verb,A1
seek,寻找,xúnzhǎo,verb,B2
select,选择,xuǎnzé,verb,B2
sell,卖,mài,verb,A1
send,发送,fāsòng,verb,A1
sense,感觉,gǎnjué,verb,B2
sentence,句子,jùzi,verb,B2
separate,分离,fēnlí,verb,B1
serve,服务,fúwù,verb,A2
set,放,fàng,verb,B1
settle,定居,dìngjū,verb,B2
shake,摇,yáo,verb,A2
shape,形状,xíngzhuàng,verb,B2
share,分享,fēnxiǎng,verb,A1
shelter,庇护所,bìhùsuǒ,verb,B2
shift,转移,zhuǎnyí,verb,B2
shine,闪耀,shǎnyào,verb,B1
ship,船,chuán,verb,B2
shock,震惊,zhènjīng,verb,B2
shoot,射击,shèjī,verb,B1
shop,店铺,diànpù,verb,A1
shout,喊,hǎn,verb,A2
show,展示,zhǎnshì,verb,A1
shut,关闭,guānbì,verb,A2
sign,符号,fúhào,verb,A2
signal,信号,xìnhào,verb,B1
sing,唱歌,chànggē,verb,A1
sink,下沉,xiàchén,verb,B1
sit,坐,zuò,verb,A1
ski,滑雪,huáxuě,verb,A2
sleep,睡觉,shuìjiào,verb,A1
slice,片,piàn,verb,B1
slide,滑动,huádòng,verb,B2
slip,滑,huá,verb,B2
slope,坡,pō,verb,B2
slow,慢的,màn de,verb,B1
smell,闻,wén,verb,A2
smile,微笑,wēixiào,verb,A2
smoke,抽烟,chōuyān,verb,A2
snow,雪,xuě,verb,A1
solve,解决,jiějué,verb,A2
sort,种类,zhǒnglèi,verb,B1
sound,声音,shēngyīn,verb,A1
speak,说话,shuōhuà,verb,A1
speed,速度,sùdù,verb,B2
spell,拼写,pīnxiě,verb,A1
spend,花费,huāfèi,verb,A1
split,分裂,fēnliè,verb,B2
sponsor,赞助,zànzhù,verb,B2
spot,点,diǎn,verb,B2
spread,传播,chuánbō,verb,B1
spring,春天,chūntiān,verb,B2
stage,阶段,jiēduàn,verb,B2
stand,站立,zhànlì,verb,A1
star,星星,xīngxing,verb,A2
stare,盯,dīng,verb,B2
start,开始,kāishǐ,verb,A1
state,状态,zhuàngtài,verb,B1
stay,停留,tíngliú,verb,A1
steal,偷,tōu,verb,A2
step,步,bù,verb,B2
stick,戳,chuō,verb,B1
stop,停止,tíngzhǐ,verb,A1
store,店铺,diànpù,verb,B1
stress,压力,yālì,verb,A2
stretch,拉紧,lājǐn,verb,B2
strike,罢工,bàgōng,verb,B2
structure,结构,jiégòu,verb,B2
struggle,斗争,dòuzhēng,verb,B2
study,学习,xuéxí,verb,A1
stuff,东西,dōngxi,verb,B2
submit,提交,tíjiāo,verb,B2
succeed,成功,chénggōng,verb,A2
suffer,遭受,zāoshòu,verb,B1
suggest,建议,jiànyì,verb,A2
suit,套装,tàozhuāng,verb,B1
sum,和,hé,verb,B2
summarize,总结,zǒngjié,verb,B1
supply,供应,gōngyìng,verb,B1
support,支持,zhīchí,verb,A2
suppose,认为,rènwéi,verb,A2
surprise,惊喜,jīngxǐ,verb,A2
surround,环绕,huánrào,verb,B2
survey,民意调查,mínyìdiàochá,verb,B2
survive,存活,cúnhuó,verb,B1
suspect,怀疑,huáiyí,verb,B2
swear,发誓,fāshì,verb,B2
sweep,扫,sǎo,verb,B2
swim,游泳,yóuyǒng,verb,A1
switch,转变,zhuǎnbiàn,verb,B1
take,拿,ná,verb,A1
talk,讲话,jiǎnghuà,verb,A1
target,目标,mùbiāo,verb,B2
taste,品尝,pǐncháng,verb,A2
tax,税,shuì,verb,B1
teach,教,jiào,verb,A1
tear,眼泪,yǎnlèi,verb,B2
telephone,电话,diànhuà,verb,A1
tell,告诉,gàosu,verb,A1
tend,趋向,qūxiàng,verb,B1
term,学期,xuéqī,verb,B2
test,测试,cèshì,verb,A1
text,文本,wénběn,verb,A2
