English,Chinese,Pinyin
An officer gave me a fine.,一名官员给了我罚款。,yīmíng guānyuán gěi le wǒ fákuǎn 。
An officer stopped me.,一名军官拦住了我。,yīmíng jūnguān lánzhù le wǒ 。
An writer read Dante’s masterpiece.,一位作家读了但丁的杰作。,yīwèi zuòjiā dú le dàndīng de jiézuò 。
And don’t speak too fast.,并且不要说得太快。,bìngqiě bùyào shuō dé tàikuài 。
And I bought lots of things.,而且我买了很多东西。,érqiě wǒ mǎi le hěnduō dōngxi 。
And I speak a little.,我说一点。,wǒ shuō yīdiǎn 。
And I’m going to visit my American colleagues.,我要去拜访我的美国同事。,wǒyào qù bàifǎng wǒ de měiguó tóngshì 。
And me?,和我？,hé wǒ ？
And then straight ahead.,然后一直往前走。,ránhòu yīzhí wǎngqiánzǒu 。
And there are great end of the season sales here tomorrow.,明天这里将有大量的季末促销活动。,míngtiān zhèlǐ jiàng yǒu dàliàng de jìmò cùxiāo huódòng 。
And we spoke Italian with the waiter.,我们和服务员说意大利语。,wǒmen hé fúwùyuán shuō yìdàlìyǔ 。
And you?,你呢？,nǐ ne ？
Are these your notes?,这些是你的笔记吗？,zhèxiē shì nǐ de bǐjì ma ？
Are we going there by car?,我们坐汽车去那里吗？,wǒmen zuò qìchē qù nàli ma ？
Are you a teacher?,你是老师吗？,nǐ shì lǎoshī ma ？
Are you coming for a walk?,你要来散步吗？,nǐ yào lái sànbù ma ？
Are you coming to the park with me?,你和我一起去公园吗？,nǐ hé wǒ yīqǐ qù gōngyuán ma ？
Are you going by train or by bus?,你乘火车还是乘公共汽车去？,nǐ chénghuǒchē háishi chéng gōnggòngqìchē qù ？
Are you going to buy something?,你要买东西吗？,nǐ yào mǎi dōngxi ma ？
Are you going to town by bicycle?,你骑自行车去城里吗？,nǐ qí zìxíngchē qù chénglǐ ma ？
Are you going to work?,你要去上班吗？,nǐ yào qù shàngbān ma ？
Are you here this weekend?,这个周末你在吗？,zhège zhōumò nǐ zài ma ？
Are you hungry?,你饿了吗？,nǐ è le ma ？
"Are you Italian, ma’am?",女士，您是意大利人吗？,nǚshì ， nín shì yìdàlìrén ma ？
"Are you Italian, sir?",先生，您是意大利人吗？,xiānsheng ， nín shì yìdàlìrén ma ？
Are you sure that it happened at the airport?,你确定事情发生在机场吗？,nǐ quèdìng shìqing fāshēng zài jīchǎng ma ？
Are you the owner?,你是业主吗？,nǐ shì yèzhǔ ma ？
Are you well?,你好吗？,nǐhǎo ma ？
Aren’t these the right size?,这些尺寸不合适吗？,zhèxiē chǐcùn bù héshì ma ？
Artichokes are a Roman specialty.,朝鲜蓟是罗马特产。,cháoxiǎn jìshì luómǎ tèchǎn 。
"As a matter of fact, you’re right.",事实上，你是对的。,shìshíshàng ， nǐ shì duì de 。
"As usual, you are full of resources.",像往常一样，你拥有充足的资源。,xiàng wǎngcháng yīyàng ， nǐ yōngyǒu chōngzú de zīyuán 。
"As usual, you are in a good mood.",和往常一样，你心情很好。,hé wǎngcháng yīyàng ， nǐ xīnqíng hěn hǎo 。
"As usual, you have your head in the clouds.",像往常一样，你的头在云端。,xiàng wǎngcháng yīyàng ， nǐ de tóu zài yúnduān 。
As usual.,照常。,zhàocháng 。
As you wish.,如你所愿。,rúnǐsuǒyuàn 。
Ask the woman if she’s American.,问那个女人她是不是美国人。,wèn nàgè nǚrén tā shìbùshì měiguó rén 。
At a quarter past two.,两点一刻。,liǎngdiǎn yīkè 。
At eight o’clock?,在八点钟？,zài bādiǎnzhōng ？
At my place.,在我的地方。,zài wǒ de dìfāng 。
At nine o’clock.,九点钟。,jiǔdiǎnzhōng 。
At one o’clock.,一点钟。,yīdiǎnzhōng 。
At seven o’clock.,七点钟。,qīdiǎnzhōng 。
At seven P.M.?,晚上七点？,wǎnshàng qīdiǎn ？
At six o’clock.,六点钟。,liùdiǎnzhōng 。
At ten to five.,十点到五点。,shídiǎn dào wǔdiǎn 。
At the airport one can eat well.,在机场可以吃得很好。,zài jīchǎng kěyǐ chī dé hěn hǎo 。
"At the beginning, I always have some doubts.",一开始，我总是有一些疑问。,yī kāishǐ ， wǒ zǒngshì yǒu yīxiē yíwèn 。
"At the beginning, I had some doubts.",一开始，我有一些疑问。,yī kāishǐ ， wǒ yǒu yīxiē yíwèn 。
At the church there are very famous statues.,教堂里有非常著名的雕像。,jiàotáng lǐ yǒu fēicháng zhùmíng de diāoxiàng 。
At the hotel.,在酒店。,zài jiǔdiàn 。
"At the office, he had some doubts.",在办公室里，他有些疑惑。,zài bàngōngshì lǐ ， tā yǒuxiē yíhuò 。
At the pier there’s a boat that leaves at nine o’clock.,码头有一艘九点钟出发的船。,mǎtóu yǒu yīsōu jiǔdiǎnzhōng chūfā de chuán 。
At the restaurant.,在餐厅。,zài cāntīng 。
At the tower there are very famous statues.,塔上有非常著名的雕像。,tǎshàng yǒu fēicháng zhùmíng de diāoxiàng 。
At two o’clock.,下午两点。,xiàwǔ liǎngdiǎn 。
At what time does the concert begin?,音乐会什么时候开始？,yīnyuèhuì shénme shíhou kāishǐ ？
At what time is the guided tour?,导游的游览时间是几点？,dǎoyóu de yóulǎn shíjiān shì jǐdiǎn ？
At what time would you like to eat?,您想什么时候吃饭？,nín xiǎng shénme shíhou chīfàn ？
At what time?,在什么时候？,zài shénme shíhou ？
At your place.,在你家。,zài nǐjiā 。
Because I ripped my pants when I fell.,因为我摔倒的时候把裤子扯破了。,yīnwèi wǒ shuāidǎo de shíhou bǎ kùzi chěpò le 。
Because it’s a holiday?,因为今天是假期？,yīnwèi jīntiān shì jiàqī ？
Because it’s late.,因为已经晚了。,yīnwèi yǐjīng wǎn le 。
Because it’s low season the prices are incredible.,因为是淡季，所以价格高得离谱。,yīnwèi shì dànjì ， suǒyǐ jiàgé gāodé lípǔ 。
Because.,因为。,yīnwèi 。
"Before boarding the ship, they met by chance.",上船前，他们偶然相遇。,shàngchuán qián ， tāmen ǒurán xiāngyù 。
Before coming here I stayed by the lake.,来这里之前我住在湖边。,lái zhèlǐ zhīqián wǒ zhù zài húbiān 。
Before the room by the lake wasn’t comfortable.,之前住的湖边房间不太舒服。,zhīqián zhù de húbiān fángjiān bùtài shūfu 。
Before the weekend.,周末之前。,zhōumò zhīqián 。
"Before, I had an Italian car.",以前，我有一辆意大利车。,yǐqián ， wǒ yǒu yīliàng yìdàlì chē 。
Bring lots of money.,带很多钱。,dài hěnduō qián 。
But I understand Italian.,但我懂意大利语。,dàn wǒ dǒng yìdàlìyǔ 。
But the prices are not high.,但价格并不高。,dàn jiàgé bìng bù gāo 。
But the prices were good.,但价格不错。,dàn jiàgé bùcuò 。
But the prices were not high.,但价格并不高。,dàn jiàgé bìng bù gāo 。
But these roads are not very good.,但这些路都不太好走。,dàn zhèxiē lù dū bùtàihǎo zǒu 。
But they have the best prices.,但他们有最优惠的价格。,dàn tāmen yǒu zuì yōuhuì de jiàgé 。
"Calm down, you’re making me nervous.",冷静点，你让我紧张。,lěngjìng diǎn ， nǐ ràng wǒ jǐnzhāng 。
Can I come by bus?,我可以乘公共汽车来吗？,wǒ kěyǐ chéng gōnggòngqìchē lái ma ？
Can I help you?,我可以帮你吗？,wǒ kěyǐ bāng nǐ ma ？
Can I help you?,我可以帮你吗？,wǒ kěyǐ bāng nǐ ma ？
Can I make a telephone call?,我可以打电话吗？,wǒ kěyǐ dǎdiànhuà ma ？
Can I see the city map?,我可以看一下城市地图吗？,wǒ kěyǐ kàn yīxià chéngshìdìtú ma ？
Can I see you?,我可以看到你？,wǒ kěyǐ kàndào nǐ ？
Can I ship it?,我可以发货吗？,wǒ kěyǐ fāhuò ma ？
Can I take pictures during the tour?,游览期间可以拍照吗？,yóulǎn qījiān kěyǐ pāizhào ma ？
Can I translate the article?,我可以翻译这篇文章吗？,wǒ kěyǐ fānyì zhè piānwénzhāng ma ？
Can I translate the plan?,我可以翻译一下计划吗？,wǒ kěyǐ fānyì yīxià jìhuà ma ？
Can I try on another size?,我可以试穿其他尺寸吗？,wǒ kěyǐ shìchuān qítā chǐcùn ma ？
Can one translate the article?,有人能翻译一下这篇文章吗？,yǒurén néng fānyì yīxià zhè piānwénzhāng ma ？
Can they see everything in two weeks?,他们能在两周内看到一切吗？,tāmen néng zài liǎngzhōu nèi kàndào yīqiè ma ？
Can we do a telephone conference?,我们可以召开电话会议吗？,wǒmen kěyǐ zhàokāi diànhuàhuìyì ma ？
Can we do it at two PM sharp?,下午两点整可以吗？,xiàwǔ liǎngdiǎn zhěng kěyǐ ma ？
Can we eat a little later?,我们可以晚点吃吗？,wǒmen kěyǐ wǎndiǎn chī ma ？
Can we go to see a movie this evening?,我们今天晚上可以去看电影吗？,wǒmen jīntiān wǎnshàng kěyǐ qù kàn diànyǐng ma ？
Can we meet later?,我们可以稍后再见面吗？,wǒmen kěyǐ shāohòu zàijiànmiàn ma ？
Can we meet right away?,我们可以马上见面吗？,wǒmen kěyǐ mǎshàng jiànmiàn ma ？
Can we meet tomorrow morning?,我们明天早上可以见面吗？,wǒmen míngtiān zǎoshang kěyǐ jiànmiàn ma ？
Can we play tennis?,我们可以打网球吗？,wǒmen kěyǐ dǎwǎngqiú ma ？
Can you check the schedules?,你能查一下时间表吗？,nǐ néngchá yīxià shíjiānbiǎo ma ？
Can you come in the afternoon?,下午可以来吗？,xiàwǔ kěyǐ lái ma ？
Can you come to our place tomorrow?,明天你能来我们家吗？,míngtiān nǐ néng lái wǒmen jiā ma ？
Can you come to the party?,你能来参加聚会吗？,nǐ néng lái cānjiā jùhuì ma ？
Can you eat now?,现在可以吃饭了吗？,xiànzài kěyǐ chīfàn le ma ？
Can you find an interpreter for me?,你能为我找到一名翻译吗？,nǐ néng wéi wǒ zhǎodào yīmíng fānyì ma ？
Can you give me the same price for both?,你能给我两个相同的价格吗？,nǐ néng gěi wǒ liǎnggè xiāngtóng de jiàgé ma ？
Can you give this coffee to him?,你能把这咖啡给他吗？,nǐ néng bǎ zhè kāfēi gěi tā ma ？
"Can you help me, please?",你能帮我吗？,nǐ néng bāng wǒ ma ？
Can you help me?,你能帮助我吗？,nǐ néng bāngzhù wǒ ma ？
Can you show me the street on the map?,你能告诉我地图上的街道吗？,nǐ néng gàosu wǒ dìtú shàng de jiēdào ma ？
Can you show me where your house is?,你能告诉我你的房子在哪里吗？,nǐ néng gàosu wǒ nǐ de fángzi zài nǎlǐ ma ？
"Can you slow down, please?",请你慢点好吗？,qǐng nǐ màndiǎn hǎo ma ？
Can you take me to the department store?,你能带我去百货公司吗？,nǐ néng dàiwǒqù bǎihuògōngsī ma ？
Can you translate the article?,你能翻译一下这篇文章吗？,nǐ néng fānyì yīxià zhè piānwénzhāng ma ？
Can you wait a few minutes?,你能等几分钟吗？,nǐ néng děng jǐfēnzhōng ma ？
Can you wait?,你可以等等吗？,nǐ kěyǐ děngděng ma ？
Can’t we go by car?,我们不能坐汽车去吗？,wǒmen bùnéng zuò qìchē qù ma ？
Certainly not.,当然不是。,dāngrán bùshì 。
Certainly not.,当然不是。,dāngrán bùshì 。
Come in.,进来。,jìnlái 。
Come on!,快点！,kuàidiǎn ！
Come to lunch at noon.,中午过来吃午饭。,zhōngwǔ guòlái chī wǔfàn 。
Come to lunch with us.,来和我们一起吃午饭吧。,lái hé wǒmen yīqǐ chī wǔfàn bā 。
Could I ask you a favor?,我可以请你帮个忙吗？,wǒ kěyǐ qǐng nǐ bānggè máng ma ？
Could I ask you another favor?,我可以再拜托你一个忙吗？,wǒ kěyǐ zài bàituō nǐ yīgè máng ma ？
Could I ask you for an umbrella?,我可以向你要一把雨伞吗？,wǒ kěyǐ xiàng nǐ yào yībǎ yǔsǎn ma ？
Could I send you a text?,我可以给你发短信吗？,wǒ kěyǐ gěi nǐ fāduǎnxìn ma ？
Cross country skiing is fun.,越野滑雪很有趣。,yuèyě huáxuě hěn yǒuqù 。
Dante heard their story.,但丁听到了他们的故事。,dàndīng tīngdào le tāmen de gùshi 。
Dante read their story.,但丁读了他们的故事。,dàndīng dú le tāmen de gùshi 。
Dante remembered their story.,但丁记得他们的故事。,dàndīng jìde tāmen de gùshi 。
Dante tells their story.,但丁讲述了他们的故事。,dàndīng jiǎngshù le tāmen de gùshi 。
Dante wrote his masterpiece near here.,但丁在这里附近写下了他的杰作。,dàndīng zài zhèlǐ fùjìn xiěxià le tā de jiézuò 。
Darn!,该死！,gāisǐ ！
Did he give you a fine?,他给你罚款了吗？,tā gěi nǐ fákuǎn le ma ？
Did they open a restaurant?,他们开了餐馆吗？,tāmen kāi le cānguǎn ma ？
Did they open an agriturismo?,他们开了一家农庄吗？,tāmen kāi le yījiā nóngzhuāng ma ？
Did you buy a hat?,你买帽子了吗？,nǐ mǎi màozi le ma ？
Did you check the schedules?,你查过时间表了吗？,nǐ cháguò shíjiānbiǎo le ma ？
Did you drink some interesting wines?,你喝过一些有趣的葡萄酒吗？,nǐ hē guò yīxiē yǒuqù de pútaojiǔ ma ？
Did you eat anything?,你吃了什么东西吗？,nǐ chī le shénme dōngxi ma ？
Did you get a costly fine?,你收到过昂贵的罚款吗？,nǐ shōudào guò ángguì de fákuǎn ma ？
Did you get your Italian license?,你拿到意大利驾照了吗？,nǐ nádào yìdàlì jiàzhào le ma ？
Did you lose your purse?,你丢了钱包吗？,nǐ diū le qiánbāo ma ？
Did you misplace the wallet?,你是不是把钱包放错地方了？,nǐ shìbùshì bǎ qiánbāo fàngcuò dìfāng le ？
Did you miss the plane?,你错过了飞机吗？,nǐ cuòguò le fēijī ma ？
Did you miss the train?,你错过火车了吗？,nǐ cuòguò huǒchē le ma ？
Did you open a restaurant?,你开餐馆了吗？,nǐ kāi cānguǎn le ma ？
Did you play tennis Wednesday?,星期三你打网球了吗？,xīngqīsān nǐ dǎwǎngqiú le ma ？
Did you see a beautiful show?,看到精彩的表演了吗？,kàndào jīngcǎi de biǎoyǎn le ma ？
Did you see anything?,你看到什么了吗？,nǐ kàndào shénme le ma ？
Did you speak Italian?,你说意大利语吗？,nǐ shuō yìdàlìyǔ ma ？
Did you take the guided tour?,您参加了导游吗？,nín cānjiā le dǎoyóu ma ？
Did you taste some interesting wines?,你尝过一些有趣的葡萄酒吗？,nǐ chángguò yīxiē yǒuqù de pútaojiǔ ma ？
Do I have to do the recycling?,我必须进行回收吗？,wǒ bìxū jìnxíng huíshōu ma ？
Do I owe you twelve euros?,我欠你十二欧元吗？,wǒ qiàn nǐ shíèr ōuyuán ma ？
Do we have to meet tomorrow?,我们明天必须见面吗？,wǒmen míngtiān bìxū jiànmiàn ma ？
Do you do sports?,你做运动吗？,nǐ zuò yùndòng ma ？
Do you feel bad?,你感觉不好吗？,nǐ gǎnjuébùhǎo ma ？
Do you feel better?,你好点了吗？,nǐhǎo diǎn le ma ？
Do you feel tired?,你觉得累吗？,nǐ juéde lěi ma ？
Do you have an I.D.?,你有身份证吗？,nǐ yǒu shēnfènzhèng ma ？
Do you have any children?,你有孩子吗？,nǐ yǒu háizi ma ？
Do you have some euros?,你有一些欧元吗？,nǐ yǒu yīxiē ōuyuán ma ？
Do you have the passport?,你有护照吗？,nǐ yǒu hùzhào ma ？
Do you have the telephone number of a doctor?,您有医生的电话号码吗？,nín yǒu yīshēng de diànhuàhàomǎ ma ？
Do you have time for a coffee on Friday?,星期五你有时间喝咖啡吗？,xīngqīwǔ nǐ yǒu shíjiān hēkāfēi ma ？
Do you have time?,你有时间吗？,nǐ yǒu shíjiān ma ？
Do you have to leave now?,你现在必须离开吗？,nǐ xiànzài bìxū líkāi ma ？
Do you know a good interpreter?,您认识一位好的口译员吗？,nín rènshi yīwèi hǎo de kǒuyìyuán ma ？
Do you know if the temples are near the harbor?,你知道寺庙靠近港口吗？,nǐ zhīdào sìmiào kàojìn gǎngkǒu ma ？
Do you know that he studied art history?,你知道他学的是艺术史吗？,nǐ zhīdào tāxué de shì yìshùshǐ ma ？
Do you know that you can see a show in the temples?,你知道寺庙里可以看表演吗？,nǐ zhīdào sìmiào lǐ kěyǐ kàn biǎoyǎn ma ？
Do you know that you can see the temples from here?,你知道从这里可以看到寺庙吗？,nǐ zhīdào cóng zhèlǐ kěyǐ kàndào sìmiào ma ？
Do you know the address?,你知道地址吗？,nǐ zhīdào dìzhǐ ma ？
Do you know the plot?,你知道剧情吗？,nǐ zhīdào jùqíng ma ？
Do you know the story?,你知道这个故事吗？,nǐ zhīdào zhège gùshi ma ？
Do you know what I should do?,你知道我应该做什么吗？,nǐ zhīdào wǒ yīnggāi zuò shénme ma ？
Do you know what I would do?,你知道我会做什么吗？,nǐ zhīdào wǒhuì zuò shénme ma ？
Do you know what I would like?,你知道我想要什么吗？,nǐ zhīdào wǒ xiǎngyào shénme ma ？
Do you know what I would say?,你知道我会说什么吗？,nǐ zhīdào wǒhuì shuō shénme ma ？
Do you know where a department store is?,你知道百货公司在哪里吗？,nǐ zhīdào bǎihuògōngsī zài nǎlǐ ma ？
Do you know where the newspaper is?,你知道报纸在哪里吗？,nǐ zhīdào bàozhǐ zài nǎlǐ ma ？
Do you know where the theater is?,你知道剧院在哪里吗？,nǐ zhīdào jùyuàn zài nǎlǐ ma ？
Do you know?,你知道吗？,nǐ zhīdào ma ？
Do you like artichokes?,你喜欢朝鲜蓟吗？,nǐ xǐhuan cháoxiǎn jì ma ？
Do you like local wines?,你喜欢当地的葡萄酒吗？,nǐ xǐhuan dāngdì de pútaojiǔ ma ？
Do you like sweet wines?,你喜欢甜葡萄酒吗？,nǐ xǐhuan tián pútaojiǔ ma ？
Do you like this wine?,你喜欢这款酒吗？,nǐ xǐhuan zhèkuǎn jiǔ ma ？
Do you like to drive on the highway in Italy?,你喜欢在意大利的高速公路上开车吗？,nǐ xǐhuan zài yìdàlì de gāosùgōnglù shàng kāichē ma ？
Do you like to take pictures during the tour?,您喜欢在游览期间拍照吗？,nín xǐhuan zài yóulǎn qījiān pāizhào ma ？
Do you like wine?,你喜欢红酒吗？,nǐ xǐhuan hóngjiǔ ma ？
Do you mind if I come?,你介意我来吗？,nǐ jièyì wǒlái ma ？
Do you mind if I don’t come?,你介意我不来吗？,nǐ jièyì wǒ bùlái ma ？
Do you mind if I don’t understand?,你介意我听不懂吗？,nǐ jièyì wǒ tīngbudǒng ma ？
Do you mind if we talk about it?,你介意我们谈谈吗？,nǐ jièyì wǒmen tántán ma ？
Do you need anything else?,你还需要什么别的吗？,nǐ huán xūyào shénme biéde ma ？
Do you remember our trip last year?,你还记得我们去年的旅行吗？,nǐ huán jìde wǒmen qùnián de lǚxíng ma ？
Do you see the street over there on the right?,你看到右边的街道了吗？,nǐ kàndào yòubian de jiēdào le ma ？
Do you still have a lot of work?,你还有很多工作吗？,nǐ háiyǒu hěnduō gōngzuò ma ？
Do you think that it’s all right?,你觉得这样就可以了吗？,nǐ juéde zhèyàng jiù kěyǐ le ma ？
Do you understand English?,你会英语吗？,nǐ huì yīngyǔ ma ？
Do you want to have dinner with me?,你想和我一起吃晚饭吗？,nǐ xiǎng hé wǒ yīqǐ chīwǎnfàn ma ？
Does it snow there?,那里下雪吗？,nàli xiàxuě ma ？
Does one pay for a cart?,买一辆购物车需要付费吗？,mǎi yīliàng gòuwùchē xūyào fùfèi ma ？
Does one pay one euro for a cart?,买一辆购物车需要花一欧元吗？,mǎi yīliàng gòuwùchē xūyào huāyī ōuyuán ma ？
Does one pay to do the grocery shopping?,去杂货店购物需要付费吗？,qù záhuòdiàn gòuwù xūyào fùfèi ma ？
Does the guided tour begin here?,导游从这里开始吗？,dǎoyóu cóng zhèlǐ kāishǐ ma ？
Doing the grocery shopping at the supermarket is fun.,在超市买菜很有趣。,zài chāoshì mǎicài hěn yǒuqù 。
Doing the grocery shopping is more difficult than I thought.,去杂货店买东西比我想象的要困难。,qù záhuòdiàn mǎi dōngxi bǐ wǒ xiǎngxiàng de yào kùnnán 。
Doing the grocery shopping is more fun than I thought.,去杂货店买东西比我想象的更有趣。,qù záhuòdiàn mǎi dōngxi bǐ wǒ xiǎngxiàng de gēng yǒuqù 。
Don’t forget to call your mother!,别忘了给你妈妈打电话！,biéwàngle gěi nǐ māma dǎdiànhuà ！
Don’t forget to do the grocery shopping!,别忘了去杂货店购物！,biéwàngle qù záhuòdiàn gòuwù ！
Don’t forget to recharge your cellphone!,别忘了给手机充电！,biéwàngle gěi shǒujī chōngdiàn ！
Don’t forget.,别忘了。,biéwàngle 。
Don’t go too fast.,不要走得太快。,bùyào zǒudé tàikuài 。
Don’t lose your temper.,不要发脾气。,bùyào fāpíqì 。
Don’t worry.,不用担心。,bùyòng dānxīn 。
Don’t you worry.,你不用担心。,nǐ bùyòng dānxīn 。
Don’t you worry.,你不用担心。,nǐ bùyòng dānxīn 。
"Driving here is fun, especially in the big cities.",在这里开车很有趣，尤其是在大城市。,zài zhèlǐ kāichē hěn yǒuqù ， yóuqí shì zài dàchéngshì 。
"During the low season, the prices are not high.",淡季的时候，价格不高。,dànjì de shíhou ， jiàgé bùgāo 。
Eighty-nine.,八十九。,bāshíjiǔ 。
Eleven or twelve.,十一或十二。,shíyī huò shíèr 。
English is difficult.,英语很难。,yīngyǔ hěnnán 。
especially,尤其,yóuqí
Especially in the cities.,尤其是在城市。,yóuqí shì zài chéngshì 。
even if it ends sadly,即使结局悲伤,jíshǐ jiéjú bēishāng
even if it is a sad adaptation,即使这是一个悲伤的改编,jíshǐ zhèshì yīgè bēishāng de gǎibiān
even if it is a sad movie,即使这是一部悲伤的电影,jíshǐ zhèshì yībù bēishāng de diànyǐng
even if it is a sad story,即使这是一个悲伤的故事,jíshǐ zhèshì yīgè bēishāng de gùshi
"Even when the sea is calm, I get sea-sick.",即使海面风平浪静，我也会晕船。,jíshǐ hǎimiàn fēngpínglàngjìng ， wǒ yě huì yùnchuán 。
Every so often.,每隔一段时间。,měigé yīduànshíjiān 。
"Every year, one can participate in an event.",每年，人们都可以参加一项活动。,měinián ， rénmen dū kěyǐ cānjiā yīxiàng huódòng 。
"Every year, the event is celebrated.",每年都会庆祝这一活动。,měinián dū huì qìngzhù zhèyī huódòng 。
"Every year, the event is remembered.",每年，这一事件都会被人们铭记。,měinián ， zhèyī shìjiàn dū huì bèi rénmen míngjì 。
Everyone is invited.,每个人都被邀请。,měige rén dū bèi yāoqǐng 。
Everyone was invited.,每个人都被邀请了。,měige rén dū bèi yāoqǐng le 。
Everything is hand-made here.,这里的一切都是手工制作的。,zhèlǐ de yīqièdūshì shǒugōng zhìzuò de 。
Everything is made with recycled materials.,一切都是用回收材料制成的。,yīqièdūshì yòng huíshōu cáiliào zhìchéng de 。
Everything is on sale.,一切都在出售。,yīqièdūzài chūshòu 。
Everything is so beautiful here.,这里的一切都是那么美丽。,zhèlǐ de yīqièdūshì nàme měilì 。
Everything you see here is hand-made.,你在这里看到的一切都是手工制作的。,nǐ zài zhèlǐ kàndào de yīqièdūshì shǒugōng zhìzuò de 。
Everything’s closed today.,今天一切都关门了。,jīntiān yīqiè dū guānmén le 。
Excuse me.,打扰一下。,dǎrǎo yīxià 。
"First of all, the shower doesn’t work.",首先，淋浴不能用。,shǒuxiān ， línyù bùnéng yòng 。
"First of all, the water heater doesn’t work.",首先，热水器不工作。,shǒuxiān ， rèshuǐqì bù gōngzuò 。
"First of all, the water heater is broken.",首先，热水器坏了。,shǒuxiān ， rèshuǐqì huài le 。
For how long are you staying?,你要呆多久？,nǐ yào dāi duōjiǔ ？
